,国・地域,略称,金,銀,銅,point
0,カナダ,(CAN)（開催国）,14,7,5,96
1,ドイツ,(GER),10,13,7,96
2,アメリカ合衆国,(USA),9,15,13,103
3,ノルウェー,(NOR),9,8,6,75
4,韓国,(KOR),6,6,2,50
5,スイス,(SUI),6,0,3,33
6,中国,(CHN),5,2,4,35
7,スウェーデン,(SWE),5,2,4,35
8,オーストリア,(AUT),4,6,6,44
9,オランダ,(NED),4,1,3,26
10,ロシア,(RUS),3,5,7,37
11,フランス,(FRA),2,3,6,25
12,オーストラリア,(AUS),2,1,0,13
13,チェコ,(CZE),2,0,4,14
14,ポーランド,(POL),1,3,2,16
15,イタリア,(ITA),1,1,3,11
16,ベラルーシ,(BLR),1,1,1,9
17,スロバキア,(SVK),1,1,1,9
18,イギリス,(GBR),1,0,0,5
19,日本,(JPN),0,3,2,11
20,クロアチア,(CRO),0,2,1,7
21,スロベニア,(SLO),0,2,1,7
22,ラトビア,(LAT),0,2,0,6
23,フィンランド,(FIN),0,1,4,7
24,エストニア,(EST),0,1,0,3
25,カザフスタン,(KAZ),0,1,0,3
