,国・地域,金,銀,銅,point
0,ドイツ,11,12,6,97
1,アメリカ合衆国,9,9,7,79
2,オーストリア,9,7,7,73
3,ロシア,8,6,8,66
4,カナダ,7,10,7,72
5,スウェーデン,7,2,5,46
6,韓国,6,3,2,41
7,スイス,5,4,5,42
8,イタリア,5,0,6,31
9,フランス,3,2,4,25
10,オランダ,3,2,4,25
11,エストニア,3,0,0,15
12,ノルウェー,2,8,9,43
13,中国,2,4,5,27
14,チェコ,1,2,1,12
15,クロアチア,1,2,0,11
16,オーストラリア,1,0,1,6
17,日本,1,0,0,5
18,フィンランド,0,6,3,21
19,ポーランド,0,1,1,4
20,ベラルーシ,0,1,0,3
21,ブルガリア,0,1,0,3
22,イギリス,0,1,0,3
23,スロバキア,0,1,0,3
24,ウクライナ,0,0,2,2
25,ラトビア,0,0,1,1
