,国・地域,金,銀,銅,point
0,ドイツ,10,10,6,86
1,EUN,9,6,8,71
2,ノルウェー,9,6,5,68
3,オーストリア,6,7,8,59
4,アメリカ合衆国,5,4,2,39
5,イタリア,4,6,4,42
6,フランス,3,5,1,31
7,フィンランド,3,1,3,21
8,カナダ,2,3,2,21
9,韓国,2,1,1,14
10,日本,1,2,4,15
11,オランダ,1,1,2,10
12,スウェーデン,1,0,3,8
13,スイス,1,0,2,7
14,中国,0,3,0,9
15,ルクセンブルク,0,2,0,6
16,ニュージーランド,0,1,0,3
17,チェコスロバキア,0,0,3,3
18,北朝鮮,0,0,1,1
19,スペイン,0,0,1,1
