,国・地域,金,銀,銅,point
0,ドイツ,12,9,8,95
1,ノルウェー,10,10,5,85
2,ロシア,9,6,3,66
3,カナダ,6,5,4,49
4,アメリカ合衆国,6,3,4,43
5,オランダ,5,4,2,39
6,日本,5,1,4,32
7,オーストリア,3,5,9,39
8,韓国,3,1,2,20
9,イタリア,2,6,2,30
10,フィンランド,2,4,6,28
11,スイス,2,2,3,19
12,フランス,2,1,5,18
13,チェコ,1,1,1,9
14,ブルガリア,1,0,0,5
15,中国,0,6,2,20
16,スウェーデン,0,2,1,7
17,デンマーク,0,1,0,3
18,ウクライナ,0,1,0,3
19,ベラルーシ,0,0,2,2
20,カザフスタン,0,0,2,2
21,オーストラリア,0,0,1,1
22,ベルギー,0,0,1,1
23,イギリス,0,0,1,1
