,国・地域,金,銀,銅,point
0,ロシア,11,8,4,83
1,ノルウェー,10,11,5,88
2,ドイツ,9,7,8,74
3,イタリア,7,5,8,58
4,アメリカ合衆国,6,5,2,47
5,韓国,4,1,1,24
6,カナダ,3,6,4,37
7,スイス,3,4,2,29
8,オーストリア,2,3,4,23
9,スウェーデン,2,1,0,13
10,日本,1,2,2,13
11,カザフスタン,1,2,0,11
12,ウクライナ,1,0,1,6
13,ウズベキスタン,1,0,0,5
14,ベラルーシ,0,2,0,6
15,フィンランド,0,1,5,8
16,フランス,0,1,4,7
17,オランダ,0,1,3,6
18,中国,0,1,2,5
19,スロベニア,0,0,3,3
20,イギリス,0,0,2,2
21,オーストラリア,0,0,1,1
